survey,variable,variable_name,value,value_description
PROGRAMAS_SOCIALES,QH106,wawa_wasi_cuna_mas_beneficiary,1,
PROGRAMAS_SOCIALES,QH106,wawa_wasi_cuna_mas_beneficiary,2,
PROGRAMAS_SOCIALES,QH106,wawa_wasi_cuna_mas_beneficiary,8,
PROGRAMAS_SOCIALES,QH95,juntos_beneficiary,1,
REC84DV,D101A,psychological_verbal_violence_talking_men,0,
REC84DV,D101A,psychological_verbal_violence_talking_men,1,
REC84DV,D101A,psychological_verbal_violence_talking_men,8,
REC84DV,D101B,psychological_verbal_violence_accuse_infidelity,0,
REC84DV,D101B,psychological_verbal_violence_accuse_infidelity,1,
REC84DV,D101B,psychological_verbal_violence_accuse_infidelity,8,
REC84DV,D101C,psychological_verbal_violence_visit_friends_impediment,0,
REC84DV,D101C,psychological_verbal_violence_visit_friends_impediment,1,
REC84DV,D101C,psychological_verbal_violence_visit_friends_impediment,8,
REC84DV,D101D,psychological_verbal_violence_visit_family_impediment,0,
REC84DV,D101D,psychological_verbal_violence_visit_family_impediment,1,
REC84DV,D101D,psychological_verbal_violence_visit_family_impediment,8,
REC84DV,D101E,psychological_verbal_violence_know_places,0,
REC84DV,D101E,psychological_verbal_violence_know_places,1,
REC84DV,D101E,psychological_verbal_violence_know_places,8,
REC84DV,D101F,psychological_verbal_violence_mistrust_money,0,
REC84DV,D101F,psychological_verbal_violence_mistrust_money,1,
REC84DV,D101F,psychological_verbal_violence_mistrust_money,8,
REC84DV,D104,emotional_violence,0,
REC84DV,D104,emotional_violence,1,
REC84DV,D106,mild_physical_violence,0,
REC84DV,D106,mild_physical_violence,1,
REC84DV,D107,severe_physical_violence,0,
REC84DV,D107,severe_physical_violence,1,
REC84DV,D108,sexual_violence,0,
REC84DV,D108,sexual_violence,1,
REC84DV,D118Y,physical_violence_pregnancy_nobody,0,
REC84DV,D118Y,physical_violence_pregnancy_nobody,1,
REC91,S229A1,months_pregnancy_first_control,98,
REC91,S803AG,place_hiv_testing_municipality,0,
REC91,S803AG,place_hiv_testing_municipality,1,
REC91,SPROVIN,province,1,
REC91,SPROVIN,province,10,
REC91,SPROVIN,province,11,
REC91,SPROVIN,province,12,
REC91,SPROVIN,province,13,
REC91,SPROVIN,province,14,
REC91,SPROVIN,province,15,
REC91,SPROVIN,province,16,
REC91,SPROVIN,province,17,
REC91,SPROVIN,province,18,
REC91,SPROVIN,province,19,
REC91,SPROVIN,province,2,
REC91,SPROVIN,province,20,
REC91,SPROVIN,province,3,
REC91,SPROVIN,province,4,
REC91,SPROVIN,province,5,
REC91,SPROVIN,province,6,
REC91,SPROVIN,province,7,
REC91,SPROVIN,province,8,
REC91,SPROVIN,province,9,
REC94,S410B,months_pregnancy_last_prenatal_checkup,98,
REC94,S411DA,months_pregnancy_syphilis_testing,98,
REC94,S411EA,months_pregnancy_hiv_testing,98,
REC94,S411G,checkup_rule_out_syphilis,0,
REC94,S411G,checkup_rule_out_syphilis,1,
REC94,S411G,checkup_rule_out_syphilis,8,
REC94,S411H,checkup_rule_out_hiv_aids,0,
REC94,S411H,checkup_rule_out_hiv_aids,1,
REC94,S411H,checkup_rule_out_hiv_aids,8,
REC94,S413,pregnancy_sis_affiliation,0,
REC94,S413,pregnancy_sis_affiliation,1,
